#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.004343,3,1,0,2862
0.000723,4,1,0,3689
0.100830,5,1,0,4503
0.304069,6,1,0,5041
0.496914,7,1,0,5599
0.458876,8,1,0,5971
0.558120,9,1,0,6354
0.607585,10,1,0,6628
0.640735,11,1,0,6869
0.708091,12,1,0,7265
0.770887,13,1,0,7564
0.708478,14,1,0,6683
0.758774,16,1,0,7701
0.786356,14,3,0,7913
0.000000,14,4,0,7701
0.969157,16,3,0,8928
1.261784,15,5,0,8120
1.054638,14,7,0,6327
1.465594,13,9,0,6039
0.741416,13,10,0,6088
1.160681,13,13,0,7283
1.190530,15,16,0,10820
1.406542,16,16,0,11585
0.000000,16,17,0,11810
0.000000,17,17,0,12473
1.052552,15,20,0,12251
0.000000,8,28,0,9726
0.000000,3,34,0,4420
0.000000,3,13,0,3243
0.000000,4,13,0,3434
1.680256,5,13,0,3720
2.054761,6,13,0,4221
1.828388,7,13,0,4598
1.950780,10,13,0,6245
2.661178,11,13,0,6614
1.076809,12,13,0,7329
0.997687,13,13,0,8017
0.435682,13,8,0,8076
0.438144,14,8,0,8611
0.420104,15,4,0,7264
0.399631,17,5,0,7202
0.607793,19,4,0,9031
0.000000,19,5,0,9592
0.000000,16,9,0,9145
0.733629,18,8,0,10498
0.792558,14,13,0,8305
0.877436,9,19,0,7169
1.089005,3,25,0,2830
1.045800,3,26,0,2138
0.937274,4,26,0,2282
0.823456,4,10,0,2347
0.000000,4,11,0,2599
0.000000,5,11,0,3292
0.982421,6,11,0,4131
0.000000,7,11,0,4578
0.000000,8,11,0,4967
0.000000,9,11,0,5457
1.564039,10,11,0,5060
1.279036,11,11,0,5870
1.115431,12,4,0,5245
1.281133,13,4,0,5215
1.430464,13,3,0,5841
1.409795,15,4,0,6515
0.439948,15,3,0,7054
0.754182,16,3,0,7650
0.234616,17,3,0,8304
0.299174,18,3,0,8644
0.335572,19,4,0,9569
0.442565,21,4,0,10815
0.705074,24,5,0,11672
0.803567,25,5,0,12230
0.888538,23,8,0,10404
0.426047,21,11,0,10679
0.666702,20,13,0,10801
0.619755,19,14,0,8451
0.564345,18,16,0,8539
0.782231,20,15,0,9073
0.762019,17,20,0,9188
0.874125,18,20,0,9498
0.966173,17,22,0,9438
1.019025,15,25,0,8842
1.062943,13,27,0,8388
1.014598,13,28,0,8418
0.000000,14,28,0,9183
1.267126,13,30,0,8045
0.000000,14,30,0,8678
1.109240,14,31,0,8858
0.000000,15,31,0,9234
0.000000,14,32,0,8702
0.000000,15,32,0,9177
1.333650,16,32,0,9641
1.363273,17,32,0,9458
1.244537,17,31,0,7784
1.263738,17,32,0,8382
1.076995,20,30,0,9308
1.081117,19,32,0,9713
1.177307,22,30,0,10688
1.265871,17,34,0,9532
0.000000,15,27,0,8091
1.219513,18,32,0,9853
1.083073,18,33,0,9919
0.915582,15,30,0,7970
1.397292,23,31,0,12501
1.244413,23,30,0,8937
1.320533,24,30,0,9728
1.293815,23,32,0,9874
1.049729,21,35,0,10108
1.545368,17,38,0,8794
1.596843,9,46,0,7606
1.854810,4,43,0,4037
1.671314,5,43,0,4498
1.100336,5,40,0,3383
1.290360,6,40,0,3994
0.000000,6,17,0,3662
1.284408,7,17,0,4331
0.885780,8,17,0,5033
1.456955,9,17,0,5596
1.089028,10,17,0,6192
1.539431,11,17,0,6858
1.485544,12,17,0,7246
1.046922,13,17,0,6435
1.735239,14,17,0,7059
1.528450,15,17,0,6675
1.049724,15,11,0,6115
1.103287,16,11,0,6795
0.000000,17,11,0,7496
0.000000,18,11,0,7895
0.000000,19,11,0,8715
0.000000,24,11,0,11040
0.000000,25,11,0,11601
0.000000,23,5,0,11664
0.000000,27,7,0,14643
0.000000,33,12,0,22855
1.205610,35,12,0,24254
1.070787,38,10,0,25583
1.807625,38,11,0,25637
1.269422,30,19,0,23751
2.046199,14,36,0,15678
1.767285,4,46,0,7669
0.866721,4,47,0,5346
0.924518,4,21,0,3111
0.876938,5,21,0,3594
0.576895,6,21,0,4115
0.797500,10,21,0,6422
0.549758,12,21,0,6318
0.605502,13,21,0,6979
0.779150,14,21,0,7652
0.978569,15,21,0,8200
1.217577,17,21,0,8994
1.183791,18,16,0,9822
0.971297,20,16,0,10497
1.010307,21,5,0,10283
1.019583,24,3,0,10803
0.940635,21,7,0,10645
0.565698,19,13,0,9260
0.899449,19,14,0,9646
0.989770,21,16,0,11213
0.952261,22,25,0,13619
0.000000,25,23,0,14930
1.383388,22,27,0,13891
0.000000,28,24,0,16652
0.000000,36,28,0,27403
0.000000,35,31,0,28813
1.561271,36,31,0,28636
1.541290,29,39,0,25088
1.571190,15,54,0,18369
0.000000,3,67,0,5215
0.000000,3,20,0,2452
0.000000,4,20,0,2938
0.000000,5,20,0,3471
0.000000,5,19,0,3087
1.859052,6,19,0,3489
0.000000,8,19,0,4583
0.000000,10,20,0,6500
0.000000,11,20,0,7093
0.000000,11,19,0,6648
0.000000,13,3,0,7411
0.000000,16,19,0,7318
0.000000,17,19,0,7690
0.000000,18,19,0,8260
