#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.593757,0.074687,0.718631,0.004343,0.004343,10.396014
9.671193,0.113619,4.331990,0.000723,0.000723,14.118870
9.859823,0.331918,8.336371,0.100830,0.100830,33.557686
11.304785,0.365937,11.998388,0.304069,0.304069,44.315661
10.906828,0.349796,15.449590,0.496914,0.496914,57.484345
9.229090,0.340708,16.483159,0.458876,0.458876,52.640721
8.861213,0.375567,17.234737,0.558120,0.558120,57.626063
8.673976,0.485515,22.059902,0.607585,0.607585,55.046644
8.833689,0.379500,25.978859,0.640735,0.640735,49.097994
8.041099,0.451578,26.809246,0.708091,0.708091,54.557914
7.983769,0.413745,26.882166,0.770887,0.770887,50.860045
7.778182,0.343965,26.277605,0.708478,0.708478,50.588800
8.071438,0.366028,28.007368,0.758774,0.758774,48.415972
8.229409,0.328743,29.849662,0.786356,0.786356,54.459977
7.976640,0.248162,20.527114,0.000000,0.000000,28.752065
7.483810,0.392136,26.953661,0.969157,0.969157,55.809393
8.669388,0.408749,25.972067,1.261784,1.261784,55.689018
8.993427,0.385080,28.041982,1.054638,1.054638,54.816084
8.232871,0.323224,27.028357,1.465594,1.465594,55.967982
7.979979,0.297017,27.233940,0.741416,0.741416,49.426991
8.793308,0.315892,29.416771,1.160681,1.160681,50.173402
8.972950,0.305380,29.136688,1.190530,1.190530,55.047246
7.590114,0.397381,24.435803,1.406542,1.406542,57.614194
9.169960,0.477775,26.121115,0.000000,0.000000,35.769254
8.874191,0.474219,26.543087,0.000000,0.000000,35.892112
9.816247,0.395612,29.640498,1.052552,1.052552,61.625025
9.464133,0.325331,26.934920,0.000000,0.000000,36.724600
9.579675,0.289023,27.021905,0.000000,0.000000,36.890793
10.013610,0.289766,28.506465,0.000000,0.000000,38.810259
10.156555,0.280625,29.960868,0.000000,0.000000,40.398258
10.619793,0.282356,32.747878,1.680256,1.680256,81.139965
10.845894,0.328686,32.766099,2.054761,2.054761,127.255407
