#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,7.733894,401.271404,0.000000,11.515597,4.808090,0.084979,5888.808594
0.000000,0.000000,1.883539,6.439181,0.000000,2.154452,3.409613,0.080227,26.145667
0.000000,0.000000,1.657921,6.596300,0.000000,2.237555,2.806463,0.673181,15.252517
0.000000,0.000000,1.715782,7.040823,0.000000,3.181472,3.956619,0.542500,15.478861
0.000000,0.000000,1.563415,8.340279,0.000000,3.255660,4.368910,0.070239,18.781234
0.000000,0.000000,1.641589,6.040571,0.000000,2.086858,3.101343,0.542777,16.562598
0.000000,0.000000,1.834199,2.749762,0.000000,3.029496,3.835990,0.073157,11.454737
0.000000,0.000000,1.654050,6.863366,0.000000,2.131812,3.365435,0.076029,16.683517
0.000000,0.000000,2.017581,2.641267,0.000000,1.666537,3.186171,0.649486,11.400905
0.000000,0.000000,1.794008,2.704550,0.000000,3.298280,3.975527,0.076155,11.223300
0.000000,0.000000,1.665314,2.875360,0.000000,1.731284,3.412787,0.077143,13.102365
0.000000,0.000000,1.877950,2.695294,0.000000,1.303305,2.860785,0.074500,10.985236
0.000000,0.000000,1.536155,2.372000,0.000000,1.269292,2.755456,0.707144,9.260597
0.000000,0.000000,2.382558,2.512379,0.000000,2.504365,3.622924,0.070570,10.709519
0.000000,0.000000,1.583412,4.007683,0.000000,1.670141,3.092994,0.073299,12.921241
0.000000,0.000000,4.142245,2.434153,0.000000,1.276499,2.603053,0.630398,12.546649
0.000000,0.000000,3.453304,2.356318,0.000000,2.678956,3.744531,0.069861,11.373829
0.000000,0.000000,1.484993,4.132853,0.000000,1.608940,3.003315,0.072332,13.217121
0.000000,0.000000,1.632222,3.343722,0.000000,2.631151,2.954927,0.073817,10.780588
0.000000,0.000000,1.606225,2.677225,0.000000,2.487925,2.481010,0.736239,11.134999
0.000000,0.000000,2.347314,2.700015,0.000000,2.957005,3.672961,0.071755,11.893817
0.000000,0.000000,1.617074,2.856254,0.000000,1.408243,2.978535,0.066876,12.312102
0.000000,0.000000,1.698702,2.408258,0.000000,1.025173,2.325233,0.616442,9.659435
0.000000,0.000000,1.791986,2.636887,0.000000,2.244322,3.290094,0.188723,9.525023
0.000000,0.000000,1.702471,2.371935,0.000000,1.212304,2.927105,0.069876,10.896431
0.000000,0.000000,1.706647,2.515662,0.000000,1.038035,2.319615,0.559983,9.576274
0.000000,0.000000,1.695543,2.377896,0.000000,2.308489,3.153929,0.057687,9.107013
0.000000,0.000000,2.769225,2.496710,0.000000,1.150474,2.701082,0.056392,11.845411
0.000000,0.000000,3.473054,2.401483,0.000000,1.128938,2.330902,0.516835,10.786192
0.000000,0.000000,1.655927,3.904219,0.000000,2.866224,2.987686,0.053182,10.619275
0.000000,0.000000,1.978573,4.005152,0.000000,1.116839,2.843139,0.055722,12.981238
0.000000,0.000000,1.906345,3.565837,0.000000,1.296911,2.450520,0.555898,10.495319
0.000000,0.000000,1.454794,2.626056,0.000000,2.151554,2.948334,0.056026,9.456800
0.000000,0.000000,1.530779,2.253301,0.000000,1.241256,3.088604,0.058419,9.989990
0.000000,0.000000,1.519002,2.271196,0.000000,1.246484,2.489372,0.473919,9.131789
0.000000,0.000000,1.948725,2.415125,0.000000,2.255229,3.263919,0.048553,9.603050
0.000000,0.000000,1.785855,3.164905,0.000000,1.074301,2.695062,0.053364,11.631030
0.000000,0.000000,2.710129,2.335405,0.000000,1.069858,1.985213,0.548876,9.885203
