#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.005988,3,1,0,2455
0.000964,4,1,0,2659
0.086538,5,1,0,3167
0.218107,6,1,0,3562
0.356103,7,1,0,3960
0.442666,8,1,0,4402
0.485882,9,1,0,4940
0.422104,10,1,0,5424
0.832225,11,1,0,5918
0.832421,12,1,0,6423
1.073493,13,1,0,6728
1.161520,14,1,0,7035
1.213350,15,1,0,7458
1.652519,16,1,0,7901
1.203754,17,1,0,8233
1.553484,18,1,0,8514
1.890492,19,1,0,8809
1.732417,20,1,0,9162
1.952592,21,1,0,9481
1.819844,22,1,0,9732
1.995124,23,1,0,9987
2.216963,24,1,0,10381
2.521032,25,1,0,10667
2.782543,26,1,0,10920
2.703923,27,1,0,11239
2.889616,28,1,0,11529
3.195580,29,1,0,11910
2.922575,30,1,0,12161
3.039636,31,1,0,12361
3.495521,32,1,0,12658
3.958516,33,1,0,12869
4.293636,34,1,0,13010
3.901847,35,1,0,13237
4.442143,36,1,0,13365
5.195354,37,1,0,13558
4.835835,38,1,0,13688
6.111832,39,1,0,13810
4.103367,40,1,0,13913
3.389739,41,1,0,13936
5.103650,42,1,0,14181
5.001462,43,1,0,14240
3.091688,44,1,0,14417
4.474923,45,1,0,14664
3.290833,46,1,0,14867
3.978432,48,1,0,15327
4.361697,50,1,0,16361
0.000000,51,1,0,13842
4.217340,52,1,0,12902
0.000000,54,1,0,14089
4.792251,55,1,0,13953
2.617489,56,1,0,14140
3.423112,58,1,0,15017
0.000000,59,1,0,14957
2.739852,60,1,0,15150
3.631865,62,1,0,15913
4.297264,64,1,0,14121
0.000000,66,1,0,13666
3.855302,68,1,0,13472
3.207425,70,1,0,13326
3.789542,71,1,0,14117
0.000000,73,1,0,15661
4.435471,73,1,0,16108
0.000000,75,1,0,17419
3.514923,76,1,0,18022
0.000000,78,1,0,19358
2.379696,80,1,0,20605
0.000000,82,1,0,21718
3.768991,84,1,0,22834
0.000000,86,1,0,23843
3.553921,81,7,0,24697
4.221514,78,12,0,25471
0.000000,77,14,0,25588
6.621757,75,18,0,26455
4.360417,75,20,0,27169
0.000000,62,35,0,27798
5.867092,56,42,0,28094
5.562660,57,43,0,29135
0.000000,51,51,0,29207
5.970230,48,55,0,29902
0.000000,50,54,0,29990
5.574142,69,38,0,17580
0.000000,65,43,0,18189
5.730257,59,51,0,18691
0.000000,58,54,0,16831
6.355230,64,49,0,18055
0.000000,60,54,0,17884
6.772751,61,55,0,18870
0.000000,64,53,0,19941
8.259492,67,51,0,20589
0.000000,63,55,0,19936
10.703594,62,57,0,17657
0.000000,60,60,0,15658
8.283619,59,60,0,14478
0.000000,53,68,0,13263
7.434132,41,82,0,11420
0.000000,39,86,0,8366
7.151739,39,86,0,8408
0.000000,43,83,0,9385
10.312392,45,82,0,10634
0.000000,41,87,0,10582
6.408501,44,87,0,12075
0.000000,43,87,0,12504
8.469007,59,73,0,15488
0.000000,72,61,0,16927
10.454031,75,60,0,18377
0.000000,80,56,0,19807
10.112973,80,57,0,20865
0.000000,83,56,0,22321
5.568146,84,57,0,23901
0.000000,118,45,0,42867
0.000000,124,39,0,42635
2.875719,149,134,0,122935
