#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.335170,0.069508,0.803278,0.005988,0.005988,5.218995
0.954307,0.079663,1.962627,0.000964,0.000964,2.998735
4.552783,0.186376,1.705240,0.086538,0.086538,18.722835
4.662313,0.150832,2.877227,0.218107,0.218107,19.427968
4.638740,0.118555,2.700920,0.356103,0.356103,22.983370
5.230578,0.168814,5.939680,0.442666,0.442666,35.592757
4.420361,0.101168,3.717689,0.485882,0.485882,26.899337
4.841724,0.114017,6.561495,0.422104,0.422104,34.297443
4.700034,0.100783,6.922813,0.832225,0.832225,35.263340
4.727146,0.119251,7.726731,0.832421,0.832421,38.569990
5.220913,0.090012,8.631526,1.073493,1.073493,49.103166
5.453531,0.123014,10.005878,1.161520,1.161520,50.588268
5.776586,0.155418,9.899548,1.213350,1.213350,50.660016
5.324994,0.119035,10.335900,1.652519,1.652519,50.833529
5.731154,0.136040,11.493980,1.203754,1.203754,56.163066
5.815753,0.134079,12.140561,1.553484,1.553484,58.422946
6.122309,0.164308,12.931242,1.890492,1.890492,62.573215
6.171292,0.210310,13.736440,1.732417,1.732417,64.693090
6.229010,0.189974,18.176221,1.952592,1.952592,71.373511
6.578264,0.164819,14.240421,1.819844,1.819844,70.178142
6.141606,0.161182,14.475909,1.995124,1.995124,72.622322
6.690131,0.145407,16.917997,2.216963,2.216963,76.392941
6.255016,0.155960,15.433346,2.521032,2.521032,77.799425
5.672572,0.124800,16.434750,2.782543,2.782543,80.522510
6.453740,0.138921,16.747956,2.703923,2.703923,84.478039
5.845813,0.115578,16.251653,2.889616,2.889616,84.951041
6.247650,0.126273,15.686343,3.195580,3.195580,94.583265
7.014110,0.153904,18.695735,2.922575,2.922575,95.818092
7.455107,0.144535,17.319034,3.039636,3.039636,97.241611
7.568715,0.152978,17.179422,3.495521,3.495521,110.918869
7.150652,0.150304,16.984653,3.958516,3.958516,102.535578
7.195186,0.153875,17.149234,4.293636,4.293636,106.421361
7.378743,0.137481,16.863514,3.901847,3.901847,100.946996
7.288942,0.182949,21.826988,4.442143,4.442143,115.670432
7.651414,0.116295,17.574301,5.195354,5.195354,113.986349
7.445020,0.156868,17.594102,4.835835,4.835835,109.098811
7.996197,0.121887,16.924076,6.111832,6.111832,116.663823
7.342356,0.113990,16.865676,4.103367,4.103367,115.920265
7.601731,0.118431,16.994878,3.389739,3.389739,95.508946
7.533678,0.107896,16.677692,5.103650,5.103650,118.108548
8.469911,0.149126,22.017562,5.001462,5.001462,116.204121
8.969670,0.091269,24.531282,3.091688,3.091688,106.907852
10.041492,0.127342,23.952642,4.474923,4.474923,84.915210
8.163651,0.096102,24.583871,3.290833,3.290833,96.679080
9.114120,0.093409,25.442710,3.978432,3.978432,114.267657
8.557610,0.076792,25.793259,4.361697,4.361697,99.947290
8.107222,0.094905,17.195849,0.000000,0.000000,25.398584
7.309509,0.054064,18.875088,4.217340,4.217340,44.243186
8.400765,0.074360,19.646987,0.000000,0.000000,28.122494
8.254928,0.041295,18.822569,4.792251,4.792251,61.574403
8.249553,0.051362,17.785250,2.617489,2.617489,69.363061
8.430761,0.039384,20.036157,3.423112,3.423112,115.943749
8.409709,0.053605,33.269626,0.000000,0.000000,41.733415
7.814965,0.072597,18.744464,2.739852,2.739852,88.964951
8.221366,0.085642,19.418255,3.631865,3.631865,80.769617
9.121767,0.086616,20.011750,4.297264,4.297264,93.269335
8.240660,0.078674,18.900487,0.000000,0.000000,27.220312
8.156448,0.060047,15.650846,3.855302,3.855302,92.773803
9.739725,0.071050,17.243497,3.207425,3.207425,99.115749
8.906873,0.062031,16.584224,3.789542,3.789542,76.456905
10.622118,0.047050,15.781037,0.000000,0.000000,26.450569
8.797065,0.048128,15.360342,4.435471,4.435471,58.012325
8.978602,0.055787,14.438132,0.000000,0.000000,23.472914
9.353571,0.045124,14.633882,3.514923,3.514923,54.386423
7.832449,0.047208,17.640037,0.000000,0.000000,25.520671
8.997943,0.064984,17.346615,2.379696,2.379696,53.630297
8.460621,0.078139,17.329880,0.000000,0.000000,25.869093
8.646466,0.072783,17.199841,3.768991,3.768991,54.775973
8.357724,0.082707,29.581611,0.000000,0.000000,38.022351
8.764228,0.089084,18.073989,3.553921,3.553921,43.268990
9.198805,0.081680,18.054417,4.221514,4.221514,44.711881
9.689556,0.102861,18.886300,0.000000,0.000000,28.678996
9.700448,0.088742,17.030340,6.621757,6.621757,49.140540
9.671252,0.085102,16.823813,4.360417,4.360417,45.699820
9.882314,0.074222,16.228859,0.000000,0.000000,26.185659
9.236760,0.062279,16.982813,5.867092,5.867092,49.292465
10.199201,0.075296,16.432781,5.562660,5.562660,49.918353
10.268395,0.058015,18.021803,0.000000,0.000000,28.348735
10.677535,0.060666,17.371522,5.970230,5.970230,52.249933
11.355935,0.059232,16.453134,0.000000,0.000000,27.868697
11.830212,0.043473,16.031155,5.574142,5.574142,55.689620
12.167455,0.041684,17.783605,0.000000,0.000000,29.993330
12.195961,0.037883,16.395476,5.730257,5.730257,56.095342
12.496935,0.034781,17.490192,0.000000,0.000000,30.022246
12.895903,0.031849,15.960115,6.355230,6.355230,58.888736
13.140130,0.034786,6.681307,0.000000,0.000000,19.856532
12.873443,0.033672,16.213063,6.772751,6.772751,60.617875
13.135591,0.039834,6.257859,0.000000,0.000000,19.433483
10.951786,0.026857,14.123319,8.259492,8.259492,59.893914
